Availability,Deployability,Energy Efficiency,Integrability,Modifiability,Performance,Safety,Security,Testability,Usability,total
5,144,4,0,0,4,3,6,37,2,205
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
15,25,1,50,57,26,2,1,19,8,204
67,15,12,0,20,0,0,0,80,10,204
1,10,94,11,5,43,3,2,35,0,204
1,10,94,11,5,43,3,2,35,0,204
49,33,30,15,7,28,17,11,5,9,204
49,33,30,15,7,28,17,11,5,9,204
49,33,30,15,7,28,17,11,5,9,204
49,33,30,15,7,28,17,11,5,9,204
49,33,30,15,7,28,17,11,5,9,204
49,33,30,15,7,28,17,11,5,9,204
49,33,30,15,7,28,17,11,5,9,204
49,33,30,15,7,28,17,11,5,9,204
49,33,30,15,7,28,17,11,5,9,204
35,31,7,18,35,7,7,30,26,8,204
17,49,4,5,58,21,6,38,6,0,204
21,12,5,11,20,10,11,8,53,52,203
49,33,30,14,7,28,17,11,5,9,203
49,33,30,14,7,28,17,11,5,9,203
49,33,30,14,7,28,17,11,5,9,203
49,33,30,14,7,28,17,11,5,9,203
49,33,30,14,7,28,17,11,5,9,203
32,99,3,12,15,4,1,3,28,6,203
21,3,0,6,107,11,7,11,23,13,202
52,0,3,63,1,1,2,0,27,53,202
27,108,3,9,15,4,1,3,30,1,201
27,108,3,9,15,4,1,3,30,1,201
27,108,3,9,15,4,1,3,30,1,201
27,108,3,9,15,4,1,3,30,1,201
46,7,5,10,35,10,2,1,85,0,201
49,32,30,14,7,28,17,11,5,8,201
49,32,30,14,7,28,17,11,5,8,201
49,32,30,14,7,28,17,11,5,8,201
49,32,30,14,7,28,17,11,5,8,201
32,5,15,70,27,29,10,10,0,2,200
1,10,94,10,5,43,3,1,33,0,200
1,10,94,10,5,43,3,1,33,0,200
45,38,30,12,6,14,16,14,18,7,200
2,5,1,2,23,1,77,0,86,1,198
14,11,9,7,75,38,2,7,29,6,198
49,28,30,14,7,28,17,11,5,8,197
49,28,30,14,7,28,17,11,5,8,197
49,28,30,14,7,28,17,11,5,8,197
49,28,30,14,7,28,17,11,5,8,197
49,28,30,14,7,28,17,11,5,8,197
49,28,30,14,7,28,17,11,5,8,197
49,29,29,14,8,17,17,13,14,7,197
49,29,29,14,8,17,17,13,14,7,197
49,28,30,14,7,28,17,11,5,8,197
49,29,29,14,8,17,17,13,14,7,197
49,28,30,14,7,28,17,11,5,8,197
49,29,29,14,8,17,17,13,14,7,197
49,28,30,14,7,28,17,11,5,8,197
48,28,30,14,7,28,17,11,5,8,196
48,28,30,14,7,28,17,11,5,8,196
48,28,30,14,7,28,17,11,5,8,196
27,8,39,22,28,22,9,11,21,8,195
49,27,29,14,8,17,17,13,14,7,195
49,27,29,14,8,17,17,13,14,7,195
27,6,5,16,26,10,80,21,0,4,195
12,15,88,20,8,40,0,6,5,0,194
47,28,29,14,6,31,17,10,5,7,194
47,29,29,14,8,16,17,13,14,7,194
47,29,29,14,8,16,17,13,14,7,194
47,29,29,14,6,16,17,13,14,8,193
47,29,29,14,7,16,17,13,14,7,193
47,29,29,14,6,16,17,13,14,8,193
47,29,29,14,6,16,17,13,14,8,193
47,29,29,14,6,16,17,13,14,8,193
47,29,29,14,7,16,17,13,14,7,193
47,29,29,14,6,16,17,13,14,8,193
47,29,29,14,6,16,17,13,14,8,193
47,29,29,14,7,16,17,13,14,7,193
48,14,19,8,4,42,4,24,27,3,193
14,11,9,6,76,38,2,5,28,3,192
48,28,29,14,6,28,17,10,5,7,192
48,28,29,14,6,28,17,10,5,7,192
48,28,29,14,6,28,17,10,5,7,192
48,28,29,14,6,28,17,10,5,7,192
48,28,29,14,6,28,17,10,5,7,192
